Año,Mes,Region,Regimen,Sector,Valor,% Variacion interanual
2021,02,Cataluña,Régimen general y minería del carbón,Total,"2.727,1","-2,9"
2021,02,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","-0,4"
2021,02,Cataluña,Régimen general y minería del carbón,Industria,"436,8","-1,9"
2021,02,Cataluña,Régimen general y minería del carbón,Construcción,"139,8","-1,6"
2021,02,Cataluña,Régimen general y minería del carbón,Servicios,"2.135,5","-3,2"
2021,02,Cataluña,Régimen general y minería del carbón,No clasificables,"5,5",..
2021,01,Cataluña,Régimen general y minería del carbón,Total,"2.717,7","-1,9"
2021,01,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","0,5"
2021,01,Cataluña,Régimen general y minería del carbón,Industria,"436,0","-1,6"
2021,01,Cataluña,Régimen general y minería del carbón,Construcción,"137,8","-1,2"
2021,01,Cataluña,Régimen general y minería del carbón,Servicios,"2.129,0","-2,1"
2021,01,Cataluña,Régimen general y minería del carbón,No clasificables,"5,5",..
2020,12,Cataluña,Régimen general y minería del carbón,Total,"2.721,8","-2,6"
2020,12,Cataluña,Régimen general y minería del carbón,Agricultura,"9,6","2,3"
2020,12,Cataluña,Régimen general y minería del carbón,Industria,"435,6","-1,8"
2020,12,Cataluña,Régimen general y minería del carbón,Construcción,"136,0","0,0"
2020,12,Cataluña,Régimen general y minería del carbón,Servicios,"2.135,2","-3,0"
2020,12,Cataluña,Régimen general y minería del carbón,No clasificables,"5,5",..
2020,11,Cataluña,Régimen general y minería del carbón,Total,"2.740,7","-3,1"
2020,11,Cataluña,Régimen general y minería del carbón,Agricultura,"9,6","0,7"
2020,11,Cataluña,Régimen general y minería del carbón,Industria,"437,5","-2,5"
2020,11,Cataluña,Régimen general y minería del carbón,Construcción,"140,3","-1,1"
2020,11,Cataluña,Régimen general y minería del carbón,Servicios,"2.147,8","-3,3"
2020,11,Cataluña,Régimen general y minería del carbón,No clasificables,"5,5",..
2020,10,Cataluña,Régimen general y minería del carbón,Total,"2.742,8","-1,9"
2020,10,Cataluña,Régimen general y minería del carbón,Agricultura,"9,7","3,1"
2020,10,Cataluña,Régimen general y minería del carbón,Industria,"438,5","-1,6"
2020,10,Cataluña,Régimen general y minería del carbón,Construcción,"140,0","0,4"
2020,10,Cataluña,Régimen general y minería del carbón,Servicios,"2.149,1","-2,2"
2020,10,Cataluña,Régimen general y minería del carbón,No clasificables,"5,5",..
2020,09,Cataluña,Régimen general y minería del carbón,Total,"2.709,6","-3,0"
2020,09,Cataluña,Régimen general y minería del carbón,Agricultura,"9,7","1,8"
2020,09,Cataluña,Régimen general y minería del carbón,Industria,"436,5","-0,9"
2020,09,Cataluña,Régimen general y minería del carbón,Construcción,"138,2","-0,1"
2020,09,Cataluña,Régimen general y minería del carbón,Servicios,"2.119,7","-3,7"
2020,09,Cataluña,Régimen general y minería del carbón,No clasificables,"5,5",..
2020,08,Cataluña,Régimen general y minería del carbón,Total,"2.676,3","-4,3"
2020,08,Cataluña,Régimen general y minería del carbón,Agricultura,"9,7","1,0"
2020,08,Cataluña,Régimen general y minería del carbón,Industria,"436,5","-2,5"
2020,08,Cataluña,Régimen general y minería del carbón,Construcción,"135,9","0,3"
2020,08,Cataluña,Régimen general y minería del carbón,Servicios,"2.088,5","-5,1"
2020,08,Cataluña,Régimen general y minería del carbón,No clasificables,"5,6",..
2020,07,Cataluña,Régimen general y minería del carbón,Total,"2.694,2","-4,3"
2020,07,Cataluña,Régimen general y minería del carbón,Agricultura,"9,8","1,3"
2020,07,Cataluña,Régimen general y minería del carbón,Industria,"438,2","-2,6"
2020,07,Cataluña,Régimen general y minería del carbón,Construcción,"138,5","-0,9"
2020,07,Cataluña,Régimen general y minería del carbón,Servicios,"2.102,1","-4,9"
2020,07,Cataluña,Régimen general y minería del carbón,No clasificables,"5,7",..
2020,06,Cataluña,Régimen general y minería del carbón,Total,"2.674,6","-6,1"
2020,06,Cataluña,Régimen general y minería del carbón,Agricultura,"9,8","-0,9"
2020,06,Cataluña,Régimen general y minería del carbón,Industria,"437,1","-2,8"
2020,06,Cataluña,Régimen general y minería del carbón,Construcción,"136,8","-3,7"
2020,06,Cataluña,Régimen general y minería del carbón,Servicios,"2.085,2","-7,0"
2020,06,Cataluña,Régimen general y minería del carbón,No clasificables,"5,7",..
2020,05,Cataluña,Régimen general y minería del carbón,Total,"2.686,8","-4,6"
2020,05,Cataluña,Régimen general y minería del carbón,Agricultura,"9,7","0,2"
2020,05,Cataluña,Régimen general y minería del carbón,Industria,"435,6","-2,1"
2020,05,Cataluña,Régimen general y minería del carbón,Construcción,"133,0","-5,2"
2020,05,Cataluña,Régimen general y minería del carbón,Servicios,"2.102,8","-5,2"
2020,05,Cataluña,Régimen general y minería del carbón,No clasificables,"5,7",..
2020,04,Cataluña,Régimen general y minería del carbón,Total,"2.672,2","-4,4"
2020,04,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","-0,1"
2020,04,Cataluña,Régimen general y minería del carbón,Industria,"434,6","-2,2"
2020,04,Cataluña,Régimen general y minería del carbón,Construcción,"127,3","-9,4"
2020,04,Cataluña,Régimen general y minería del carbón,Servicios,"2.095,3","-4,7"
2020,04,Cataluña,Régimen general y minería del carbón,No clasificables,"5,7",..
2020,03,Cataluña,Régimen general y minería del carbón,Total,"2.685,5","-3,3"
2020,03,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","-1,2"
2020,03,Cataluña,Régimen general y minería del carbón,Industria,"437,6","-1,4"
2020,03,Cataluña,Régimen general y minería del carbón,Construcción,"126,1","-10,5"
2020,03,Cataluña,Régimen general y minería del carbón,Servicios,"2.106,8","-3,5"
2020,03,Cataluña,Régimen general y minería del carbón,No clasificables,"5,7",..
2020,02,Cataluña,Régimen general y minería del carbón,Total,"2.808,1","2,3"
2020,02,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","2,6"
2020,02,Cataluña,Régimen general y minería del carbón,Industria,"445,4","1,0"
2020,02,Cataluña,Régimen general y minería del carbón,Construcción,"142,0","1,9"
2020,02,Cataluña,Régimen general y minería del carbón,Servicios,"2.205,6","2,4"
2020,02,Cataluña,Régimen general y minería del carbón,No clasificables,"5,6",..
2020,01,Cataluña,Régimen general y minería del carbón,Total,"2.771,0","1,9"
2020,01,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","2,5"
2020,01,Cataluña,Régimen general y minería del carbón,Industria,"443,3","0,9"
2020,01,Cataluña,Régimen general y minería del carbón,Construcción,"139,5","1,6"
2020,01,Cataluña,Régimen general y minería del carbón,Servicios,"2.173,6","2,0"
2020,01,Cataluña,Régimen general y minería del carbón,No clasificables,"5,3",..
2019,12,Cataluña,Régimen general y minería del carbón,Total,"2.794,5","2,4"
2019,12,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","3,2"
2019,12,Cataluña,Régimen general y minería del carbón,Industria,"443,6","1,2"
2019,12,Cataluña,Régimen general y minería del carbón,Construcción,"136,1","2,3"
2019,12,Cataluña,Régimen general y minería del carbón,Servicios,"2.200,4","2,5"
2019,12,Cataluña,Régimen general y minería del carbón,No clasificables,"5,2",..
2019,11,Cataluña,Régimen general y minería del carbón,Total,"2.827,0","3,3"
2019,11,Cataluña,Régimen general y minería del carbón,Agricultura,"9,6","4,0"
2019,11,Cataluña,Régimen general y minería del carbón,Industria,"448,7","1,8"
2019,11,Cataluña,Régimen general y minería del carbón,Construcción,"141,9","3,3"
2019,11,Cataluña,Régimen general y minería del carbón,Servicios,"2.221,8","3,4"
2019,11,Cataluña,Régimen general y minería del carbón,No clasificables,"5,0",..
2019,10,Cataluña,Régimen general y minería del carbón,Total,"2.796,6","2,5"
2019,10,Cataluña,Régimen general y minería del carbón,Agricultura,"9,4","2,0"
2019,10,Cataluña,Régimen general y minería del carbón,Industria,"445,5","1,4"
2019,10,Cataluña,Régimen general y minería del carbón,Construcción,"139,4","2,8"
2019,10,Cataluña,Régimen general y minería del carbón,Servicios,"2.197,5","2,6"
2019,10,Cataluña,Régimen general y minería del carbón,No clasificables,"4,8",..
2019,09,Cataluña,Régimen general y minería del carbón,Total,"2.794,5","1,8"
2019,09,Cataluña,Régimen general y minería del carbón,Agricultura,"9,5","1,1"
2019,09,Cataluña,Régimen general y minería del carbón,Industria,"440,3","-0,2"
2019,09,Cataluña,Régimen general y minería del carbón,Construcción,"138,3","3,8"
2019,09,Cataluña,Régimen general y minería del carbón,Servicios,"2.201,9","1,9"
2019,09,Cataluña,Régimen general y minería del carbón,No clasificables,"4,5",..
2019,08,Cataluña,Régimen general y minería del carbón,Total,"2.796,8","4,5"
